id	gloss	stem	actual_phonology	model_phonology	type	language	num_morphemes	num_tokens	utterance_order	corpus_name	part_of_speech	speaker_code	speaker_name	speaker_role	target_child_name	target_child_age	target_child_sex	media_start	media_end	media_unit	collection_name	collection_id	corpus_id	speaker_id	target_child_id	transcript_id	chunked_tags	chunked_stem	adjective	left	self	right	stacked	adjective_class	masked
317428	oh that's nice a hug for the birdie that's nice	oh that nice a hug for the bird that nice			declarative	eng	13	10	60	Valian	co pro:dem adj det:art n prep det:art n pro:dem adj	MOT		Mother		25.0990780098154	female				Eng-NA	2	35	1704	1702.0	3675	co BARE AP prep NP BARE adj	oh that nice-a-hug for the-bird that nice	nice		AP	for XP	no	SMART	oh that's MASKTOKEN a hug for the birdie that's nice
318071	it's a funny looking elephant	it a fun look elephant			declarative	eng	9	5	47	Valian	pro:per det:art adj part n	MOT		Mother		27.42766791925912	female				Eng-NA	2	35	1704	1702.0	3684	BARE det:art adj part BARE	it a fun look elephant	funny		adj	gerund	no	TASTY	it's a MASKTOKEN looking elephant
318161	it's hard to read those letters Child because they're little	it hard to read those letter Child because they little			declarative	eng	14	10	73	Valian	pro:per adj inf v det:dem n n:prop conj pro:sub adj	MOT		Mother		21.65752890203084	female				Eng-NA	2	35	1704	1702.0	3681	BARE adj inf v NP conj BARE adj	it hard to read those-letter-Child because they little	hard		adj	inf	no	TOUGH	it's MASKTOKEN to read those letters Child because they're little
319576	because she had such nice things to carry	because she have such nice thing to carry			declarative	eng	10	8	182	Valian	conj pro:sub v qn adj n inf v	MOT		Mother		21.65752890203084	female				Eng-NA	2	35	1704	1702.0	3681	conj BARE v AP inf v	because she have such-nice-thing to carry	nice		AP	inf	no	SMART	because she had such MASKTOKEN things to carry
319702	it's hard to get to sleep with him	it hard to get to sleep with him			declarative	eng	9	8	3	Valian	pro:per adj inf v prep n prep pro:obj	MOT		Mother		21.82180332245015	female				Eng-NA	2	35	1704	1702.0	3682	BARE adj inf v prep BARE prep BARE	it hard to get to sleep with him	hard		adj	inf	no	TOUGH	it's MASKTOKEN to get to sleep with him
319723	there were dolls and there were puzzles and books and all kinds of good things for boys and girls to eat	there be doll and there be puzzle and book and all kind of good thing for boy and girl to eat			declarative	eng	30	21	192	Valian	pro:exist cop n coord adv cop n coord n coord qn n prep adj n prep n coord n inf v	MOT		Mother		21.65752890203084	female				Eng-NA	2	35	1704	1702.0	3681	BARE cop BARE coord adv cop BARE coord BARE coord NP prep AP prep BARE coord BARE inf v	there be doll and there be puzzle and book and all-kind of good-thing for boy and girl to eat	good		AP	for XP	no	TOUGH	there were dolls and there were puzzles and books and all kinds of MASKTOKEN things for boys and girls to eat
319884	oh good for you	oh good for you			imperative_emphatic	eng	4	4	96	Valian	co adj prep pro:per	MOT		Mother		27.493377687426847	female				Eng-NA	2	35	1704	1702.0	3686	co adj prep BARE	oh good for you	good		adj	for XP	no	TOUGH	oh MASKTOKEN for you
320180	funny looking big trunk	fun look big trunk			declarative	eng	7	4	116	Valian	adj part adj n	MOT		Mother		27.493377687426847	female				Eng-NA	2	35	1704	1702.0	3686	adj part AP	fun look big-trunk	funny		adj	gerund	no	TASTY	MASKTOKEN looking big trunk
320332	be nice to Big Bird	be nice to Big Bird			declarative	eng	5	5	190	Valian	cop adj prep n:prop n:prop	MOT		Mother		26.033388775950225	female				Eng-NA	2	35	1704	1702.0	3680	cop adj prep NP	be nice to Big-Bird	nice		adj	to XP	no	SMART	be MASKTOKEN to Big Bird
320405	you know can she put them on herself you know stuff that most people would be afraid to talk about	you know can she put them on herself you know stuff that most person will be afraid to talk about			trail off	eng	23	20	154	Valian	pro:per v mod pro:sub v pro:obj prep pro:refl pro:per v n pro:rel qn n mod cop adj inf v adv	MOT		Mother		31.920573317727264	female				Eng-NA	2	35	1704	1702.0	3688	BARE v mod BARE v BARE prep BARE BARE v BARE BARE NP mod cop adj inf v adv	you know can she put them on herself you know stuff that most-person will be afraid to talk about	afraid		adj	inf	no	EMOTION	you know can she put them on herself you know stuff that most people would be MASKTOKEN to talk about
321022	it's a good way to see them on their own	it a good way to see them on their own			declarative	eng	11	10	164	Valian	pro:per det:art adj n inf v pro:obj prep det:poss adj	MOT		Mother		27.493377687426847	female				Eng-NA	2	35	1704	1702.0	3686	BARE AP inf v BARE prep det:poss adj	it a-good-way to see them on their own	good		AP	inf	no	TOUGH	it's a MASKTOKEN way to see them on their own
321269	do remember when we went to the park and there was that big horsie with the policeman on him	do remember when we go to the park and there be that big horse with the on him			question	eng	22	19	178	Valian	mod v conj pro:sub v prep det:art n coord adv cop det:dem adj n prep det:art prep pro:obj	MOT		Mother		27.493377687426847	female				Eng-NA	2	35	1704	1702.0	3686	mod v conj BARE v prep NP coord adv cop AP prep det:art prep BARE	do remember when we go to the-park and there be that-big-horse with the on him	big		AP	with XP	no	TALL	do remember when we went to the park and there was that MASKTOKEN horsie with the policeman on him
321353	purple is blue with red in it	purple be blue with red in it			declarative	eng	8	7	212	Valian	adj cop adj prep n prep pro:per	MOT		Mother		22.493275015914083	female				Eng-NA	2	35	1704	1702.0	3683	adj cop adj prep BARE prep BARE	purple be blue with red in it	blue		adj	with XP	no	COLOR	purple is MASKTOKEN with red in it
322046	no it's too long for the animal if he tried to walk he would trip over it	no it too long for the animal if he try to walk he will trip over it			declarative	eng	20	17	253	Valian	co pro:per adv adj prep det:art n conj pro:sub v prep n pro:sub mod v adv pro:per	MOT		Mother		22.493275015914083	female				Eng-NA	2	35	1704	1702.0	3683	co BARE adv adj prep NP conj BARE v prep BARE BARE mod v adv BARE	no it too long for the-animal if he try to walk he will trip over it	long	too	adj	for XP	no	TALL	no it's too MASKTOKEN for the animal if he tried to walk he would trip over it
322922	too long for the animal	too long for the animal			declarative	eng	5	5	301	Valian	adv adj prep det:art n	MOT		Mother		22.493275015914083	female				Eng-NA	2	35	1704	1702.0	3683	adv adj prep NP	too long for the-animal	long		adj	for XP	no	TALL	too MASKTOKEN for the animal
323291	well he's gonna have a hard time sleeping with a lion	well he go have a hard time sleep with a lion			declarative	eng	15	11	284	Valian	co pro:sub part v det:art adj n part prep det:art n	MOT		Mother		25.690465923324915	female				Eng-NA	2	35	1704	1702.0	3685	co BARE part v AP part prep NP	well he go have a-hard-time sleep with a-lion	hard		AP	gerund	no	TOUGH	well he's gonna have a MASKTOKEN time sleeping with a lion
323589	oh it popped again I guess mommy didn't do a very good job of putting it back together	oh it pop again I guess mommy do do a very good job of put it back together			declarative	eng	22	18	334	Valian	co pro:per v adv pro:sub n n mod v det:art adv adj n prep part pro:per adv adv	MOT		Mother		22.493275015914083	female				Eng-NA	2	35	1704	1702.0	3683	co BARE v adv NP mod v det:art adv AP prep part BARE adv adv	oh it pop again I-guess-mommy do do a very good-job of put it back together	good		AP	of XP	no	TOUGH	oh it popped again I guess mommy didn't do a very MASKTOKEN job of putting it back together
323987	it's hard to tell from this picture	it hard to tell from this picture			declarative	eng	8	7	396	Valian	pro:per adj inf v prep det:dem n	MOT		Mother		21.92036797470174	female				Eng-NA	2	35	1704	1702.0	3678	BARE adj inf v prep NP	it hard to tell from this-picture	hard		adj	inf	no	TOUGH	it's MASKTOKEN to tell from this picture
324727	I think that's very hard to do Child	I think that very hard to do Child			declarative	eng	9	8	394	Valian	pro:sub v comp adv adj inf v n:prop	MOT		Mother		22.493275015914083	female				Eng-NA	2	35	1704	1702.0	3683	BARE v comp adv adj inf v BARE	I think that very hard to do Child	hard		adj	inf	no	TOUGH	I think that's very MASKTOKEN to do Child
